ret,vol,sharpe,feasible
0.158114,0.177768,0.685919,True
0.157881,0.173661,0.700799,False
0.140396,0.175763,0.592935,True
0.15686,0.172071,0.701338,False
0.140508,0.158216,0.659404,True
0.152648,0.15886,0.733152,True
0.147381,0.166161,0.669239,True
0.204962,0.18013,0.936999,False
0.178159,0.177922,0.797983,False
0.141077,0.160797,0.652358,True
0.186425,0.187397,0.801746,False
0.165789,0.175593,0.738119,False
0.173887,0.179124,0.768779,False
0.145586,0.167569,0.6529,True
0.16607,0.172171,0.754426,False
0.167853,0.178307,0.738467,True
0.157685,0.166145,0.731317,True
0.164609,0.177343,0.724184,True
0.192045,0.184467,0.844947,False
0.169774,0.171401,0.779425,False
0.158055,0.165308,0.73726,True
0.157142,0.16332,0.740643,False
0.170675,0.173946,0.773199,False
0.174856,0.173966,0.797147,False
0.167686,0.186381,0.705576,False
0.162203,0.173938,0.724525,True
0.140862,0.156446,0.669128,True
0.169852,0.166705,0.801844,True
0.172816,0.169606,0.805605,False
0.171975,0.176503,0.769363,True
0.164975,0.183232,0.702907,True
0.184777,0.196502,0.756209,False
0.144349,0.15602,0.693301,True
0.165424,0.182788,0.707073,True
0.189204,0.181858,0.841447,False
0.146203,0.163671,0.672223,True
0.190012,0.193693,0.794203,False
0.146558,0.161125,0.685048,False
0.171314,0.166493,0.811648,False
0.159106,0.162799,0.755076,False
0.162208,0.168605,0.747471,True
0.148985,0.163074,0.691742,True
0.174793,0.187138,0.740703,True
0.175199,0.169644,0.819473,False
0.192821,0.191096,0.819699,False
0.175151,0.171188,0.811808,False
0.148856,0.153353,0.73475,False
0.147803,0.166809,0.669169,False
0.140304,0.154196,0.675273,False
0.166444,0.169981,0.766343,False
0.18327,0.185692,0.792117,False
0.185721,0.168917,0.885297,False
0.162397,0.159505,0.791305,False
0.175943,0.178566,0.782699,False
0.141696,0.160989,0.655421,True
0.169919,0.173074,0.772727,False
0.17294,0.177394,0.770938,False
0.161344,0.175322,0.713911,False
0.172004,0.185724,0.73132,False
0.169107,0.178273,0.745638,False
0.160436,0.17415,0.7135,False
0.17492,0.183994,0.754046,False
0.17624,0.17642,0.793898,False
0.177448,0.179859,0.785439,False
0.170589,0.168266,0.798788,True
0.178586,0.184461,0.772009,False
0.16625,0.174725,0.744425,False
0.17704,0.184942,0.761642,False
0.184756,0.174834,0.849815,False
0.18172,0.187557,0.775975,False
0.195064,0.181831,0.8738,False
0.178658,0.171079,0.832821,False
0.144309,0.165337,0.65399,True
0.18747,0.179793,0.841466,False
0.162136,0.16813,0.749161,False
0.177706,0.170966,0.827803,False
0.180983,0.171945,0.842146,False
0.191673,0.182119,0.853797,False
0.144244,0.161589,0.668759,True
0.157874,0.173231,0.702495,False
0.170408,0.179354,0.748397,True
0.146892,0.164653,0.672399,False
0.162627,0.17798,0.710458,False
0.187133,0.173543,0.869832,False
0.163131,0.179633,0.706724,False
0.180926,0.166115,0.87136,False
0.174724,0.174589,0.793545,False
0.17166,0.183845,0.736923,False
0.158828,0.174852,0.70144,False
0.150427,0.160545,0.711619,True
0.161313,0.163089,0.767271,False
0.175943,0.164226,0.851038,False
0.188691,0.192497,0.792276,False
